X_CV1,X_CV2,X_CV3
-0.0020575756851804973,0.015353917799451127,0.27208133716781163
-0.0016114328870221774,0.014645827167422317,-0.2850943108591387
-0.00032326771487220805,0.033355184567966545,-0.16816702329372402
0.0030216911243519575,0.012844101104259332,-0.4922192747220689
0.0030943632490166378,0.013539367890127095,-0.5141358237561139
-0.000930766896731443,0.01776418303970076,-0.24006587962678136
-2.063745561443273e-05,0.04401173920989508,-0.09555286000353742
-0.0003320958044446225,0.00468067071577762,-0.3574175744116268
0.0006819963558133342,0.06982013828059647,-0.3117908808830043
-0.00022043518707048475,0.04060120396652475,-0.08188794014884353
0.003320418633711094,0.006650842519557379,-0.3577161453293817
0.0006499138246497233,0.04448541975371391,0.14257883661772758
-0.0020347723687900604,-0.033000542988977595,-0.4086142694970326
-0.0010826252268639632,0.006320384413261032,-0.20508931723667123
-0.0014132989553400758,-0.01328377467266078,-0.5232027892808061
6.716759412181098e-05,0.013846296065461826,-0.45486490396391455
-0.0003411712383852367,0.026454524188033058,-0.13546370722908024
-0.0001351080550644511,0.04410270670040421,-0.5027329487544635
-0.003040059646545657,-0.0169098379878995,-0.11576448597292674
-0.0021231916070893753,0.0922709562071742,0.04498693895374151
0.0007764644490085432,0.06499534814622421,-0.29026193013167134
0.0023951697171629336,0.011596392774116454,-0.741894703676343
-0.0014196275925708588,-0.0005942797382706136,-0.22408382519556352
-0.003346526046576697,-0.09914288368461666,-0.2892182164985627
-0.0022923527049898127,0.0842781155496287,0.04429009343726338
-4.506349408863123e-05,0.05881895769173039,-0.37196881238656687
-0.0013632660057918433,0.00867569618261726,-0.7233526115511287
-0.0004444791178010946,0.025166719786673147,-0.1611036200521966
-0.0010380999068453458,-0.016613271348343908,-0.72557649071847
-0.0025745677072872538,-0.10102727078214409,-0.5429064770872694
0.0009319840596035881,0.04737988246541056,0.2150888732475745
2.9342954546476436e-05,-0.05127199106477501,-0.998584646113355
-0.0009355487595805373,-0.05679789722916071,-0.7380178002766787
-0.0022931873510115704,0.08299975893748765,0.03251483089080606
-8.215441199264429e-05,0.04237342799893068,-0.059055258383128834
0.0009704798681598982,-0.021629016293799506,-0.7697123027853913
0.0008822402477864199,0.04898295135327755,0.1837375519030943
0.0008013225617290487,0.07356410645720927,-0.19268160468937637
-0.0002613875546791611,0.034831414278197775,-0.07822474877310785
-0.002692289847098199,-0.009152362162069856,-0.10275153782671284
-0.0012078884715491782,0.023636879196472248,-0.15739895779992055
-0.0005055489447281734,0.03539996127621671,-0.04499672005764639
-0.000162005513905125,0.04093133468497555,-0.007387374605489351
-0.002089658455703303,0.04562505050450952,0.06397576761451819
-0.0001573097979137125,0.04133221020591576,-0.004496727041988608
-0.0031604387568501474,0.008855111016081198,-0.15493382607711756
-0.003425410862579994,-0.14694323964101752,-0.22350437862020875
0.002055332940370623,-0.0002214106423163079,-1.0797311760035304
-0.002777743493969433,-0.009494546445655911,-0.07251764418803518
-0.00016531335754420176,0.04912600020170608,-0.33480857910481726
-0.003008379074788166,0.006192532906627971,-0.06513035672183186
-0.0015060920912735208,0.10973355297764953,0.3767510816496191
-0.0007335842953531735,-0.018866245172020457,-0.6738542611320212
0.0029988041322614855,0.012083783616585759,-0.41545879970506666
-0.00033877796067572534,0.032884380486946335,-0.07317365541867504
8.478074689787188e-05,0.03692300273097225,0.08453736168174047
0.0008630134501922315,0.049350423781054864,0.18933080887655993
-0.001604706830609829,0.10163359253646688,0.3415298208385574
-0.00215656983081262,0.06092821357236808,0.1423074349485896
0.0001391537832057529,0.06168392920783187,-0.2979915276189899
-0.0031760658810447958,0.013543564110346356,-0.12015941950814667
-0.0005087566844846773,0.02525741083325803,-0.06925358273203602
0.0029873584175800537,-0.0017604424618796297,-0.30389208210083773
0.0047325905493663615,-0.04287858285126266,-0.9919511134544471
-0.00041538716686431547,0.017673526227996426,-0.0773552021836236
-0.000463542048017364,0.0344171161220729,-0.08554242578090494
0.0007901429776064902,0.07374850485384533,-0.16019134364611043
-2.1170934491771663e-05,-0.0006224029101731043,-0.4535664740114952
1.2685172461702465e-06,0.02513993362177414,-0.4579328419339784
-2.847097776893196e-05,0.04364354139941766,-0.024728631777165378
-0.00021329319096968568,0.040671837307711164,-0.06817682316757462
0.0019134487269777689,-0.00012213642315518947,-0.5774862264313204
-4.878506755474161e-05,0.03808153872964733,-0.453739876086052
-0.0013523091835298416,-0.00356778239104253,-0.21977783813013158
-0.0016650004859543276,0.014490469940934883,-0.20922537055953996
-9.444222381900271e-05,0.03832225251267136,-0.44099957803895157
0.0004951447686707269,-0.028594866144989455,-0.8443199482598686
0.0007045769819413149,0.06976336420451586,-0.18950420718023453
0.00022553247787465976,0.03910501680247296,0.1366812143493375
0.00036342241983752755,0.05798831927089921,-0.19344522226501323
-0.0011065150807007475,0.025669528699555053,-0.1569668347096959
0.0006787620176851277,0.07184989412687426,-0.11903910103212317
-0.0006038920108015999,0.026588424227841564,-0.006640745463829496
0.0009162068991950389,0.04521398728512068,0.29719459550356125
-0.00044537249564270307,0.0320571637665428,-0.47440816668860986
0.0001722167536776275,0.03019126173563588,0.20336091680078605
-0.0005572333653024685,0.038079461041554644,-0.42827565089848263
-0.00015114332071201658,0.04071159293271613,0.017030639279719127
0.0009083843382801895,0.04172211331009486,0.2505313722758178
0.000646980680747945,0.0627184181958785,-0.135362467713871
-0.0002735042114327693,0.035441537010788324,-0.3947478029583738
0.0005810080722655859,0.058299588059319694,-0.2047001196288705
-0.0018383699807507012,0.0953108610887093,0.3707123095606876
-0.0003419165741869899,0.025871286742548866,-0.3906504158979713
0.0001203231184920475,0.062300652769495445,-0.17462306714462866
